upc,cedis,cluster,date,on_hand,stores_reporting,stockout_store_share,daily_mean_7d,demand_7d_p50,demand_7d_p90,cover_days,cover_threshold,p_stockout_7d,alert_cover,alert_prob,alert_iforest,iforest_score,severity
750101310055,CMD2,A-Z,2026-04-02,884.0,99,0.7272727272727273,580.2270128062504,4061.5890896437527,5607.861962289397,1.5235416147286227,21,0.999999999309826,True,True,True,0.7684864135085253,high
750101310553,CMD2,B-Z,2026-04-02,286.0,16,0.3125,110.43316961947492,773.0321873363245,1031.557528959092,2.5898016056723216,21,0.9999949927568227,True,True,False,0.5420755881305303,high
750101310689,CMD2,B-Z,2026-04-02,4610.0,71,0.028169014084507043,822.0122036486395,5754.0854255404765,6276.346049866072,5.608189245290689,21,0.9994624077566465,True,True,True,0.5786206159625663,high
750101310541,CMD2,A-Z,2026-04-02,5009.0,69,0.043478260869565216,1281.3458512449688,8969.420958714782,11378.107115036513,3.9091709667091084,21,0.9991516269424631,True,True,False,0.513774543606374,high
750101310695,CMD2,B-Y,2026-04-02,8985.0,150,0.08,1491.9800488441417,10443.860341908992,11087.440266787848,6.022198491836944,14,0.9986901236012837,True,True,False,0.5227593134274496,high
750101310055,CMTY,A-Z,2026-04-02,963.0,125,0.816,273.82830484000186,1916.798133880013,2642.560165070128,3.5168022552039746,21,0.9969964517418571,True,True,True,0.7664094357229254,high
750101310055,CCUL,A-Z,2026-04-02,607.0,112,0.8214285714285714,252.94064379182853,1770.5845065427998,3009.60869090944,2.399772495635633,21,0.9951471035840924,True,True,True,0.7365869186154542,high
750101310694,CMD2,B-Z,2026-04-02,21959.0,77,0.07792207792207792,3699.2444474611907,25894.711132228334,28367.81328925232,5.936077031911359,21,0.9897272957662578,True,True,False,0.5267504073728743,high
750101310553,CMTY,B-Z,2026-04-02,131.0,18,0.2777777777777778,29.948850059738835,209.64195041817183,277.506293397655,4.3741245402977045,21,0.9841713983664079,True,True,False,0.529488870187489,high
750101310581,CCUL,B-Y,2026-04-02,2351.0,67,0.04477611940298507,512.7928574405336,3589.550002083735,4667.119780111413,4.5846972435115,14,0.9805818395475876,True,True,True,0.6227843633791813,high
750101310278,CMD2,A-Z,2026-04-02,31181.0,501,0.00998003992015968,5788.304747694142,40518.13323385899,47844.98797904432,5.386896744236111,21,0.9782872749342074,True,True,False,0.5391257183199946,high
750101310478,CMD2,A-Y,2026-04-02,4246.0,109,0.05504587155963303,888.1566377338812,6217.096464137168,8356.851112858625,4.780688247552377,14,0.9507540994133739,True,True,False,0.5539296834208656,high
750101310692,CMD2,B-Z,2026-04-02,4120.0,72,0.05555555555555555,716.365072965075,5014.555510755525,5844.746307220138,5.751257501914617,21,0.9498822071603772,True,True,False,0.5473930302605737,high
750101310577,CMD2,B-Z,2026-04-02,2764.0,71,0.04225352112676056,474.5385916926527,3321.770141848569,3876.4941982491023,5.8246053079496996,21,0.936420923147492,True,True,True,0.5763138596511399,high
750101310578,CMD2,B-Y,2026-04-02,2615.0,72,0.05555555555555555,430.83516056893524,3015.8461239825465,3668.628237911552,6.069606752955787,14,0.824538101388698,True,True,False,0.5237102735680471,high
750101310014,CMD2,A-Z,2026-04-02,3164.0,70,0.05714285714285714,585.4525554987969,4098.167888491578,6093.070763660541,5.40436619548841,21,0.7984036974067305,True,True,False,0.5433309450528162,high
750101310055,TLJ,A-Z,2026-04-02,1182.0,120,0.7833333333333333,220.76072544550055,1545.3250781185038,2372.8566749271095,5.354213244292866,21,0.7884156391519683,True,True,True,0.732962673384098,high
750101310548,CMD2,B-Z,2026-04-02,13038.0,169,0.029585798816568046,2102.1413683822916,14714.98957867604,17861.55749622199,6.202247002081228,21,0.7882022075857316,True,True,True,0.6029198221855029,high
750101310553,TLJ,B-Z,2026-04-02,128.0,26,0.19230769230769232,24.969500364109443,174.7865025487661,288.9334528041889,5.126253955164602,21,0.7864943559578305,True,True,False,0.49434825133668675,high
750101310691,CMD2,B-Z,2026-04-02,4566.0,70,0.014285714285714285,672.1499329459973,4705.049530621981,4941.769272353356,6.793127211941338,21,0.7257385656037061,True,True,False,0.5385923814579686,high
750101310546,CMD2,A-Z,2026-04-02,18175.0,222,0.02702702702702703,2781.0910236488485,19467.63716554194,22679.80094845969,6.535205013230393,21,0.7178769274509245,True,True,False,0.5436152844091359,high
750101310449,CMD2,A-Z,2026-04-02,2377.0,70,0.04285714285714286,361.5456139455805,2530.8192976190635,2959.782415650004,6.5745507850574665,21,0.6961058534956558,True,True,False,0.4954128223781017,high
750101310055,VHSA,A-Z,2026-04-02,567.0,102,0.8725490196078431,91.0206494772347,637.1445463406429,975.798384367248,6.229355681996239,21,0.6370822461525839,True,True,True,0.7700478398040368,high
750101311750,CMD2,B-Z,2026-04-02,5101.0,71,0.04225352112676056,780.104774074024,5460.733418518168,7588.062562671856,6.538865251856499,21,0.6046709544673835,True,True,False,0.5046390950313697,high
750101310055,MXLI,A-Z,2026-04-02,485.0,121,0.8677685950413223,77.83599229019391,544.8519460313574,1128.0409780042503,6.231050516986885,21,0.5811842326953551,True,True,True,0.7141949051697707,high
750101310581,CMD2,B-Y,2026-04-02,2216.0,76,0.039473684210526314,315.2843583771886,2206.99050864032,2716.845694844975,7.028575763815411,14,0.4899796559105084,True,False,True,0.6248526979050995,medium
750101310690,CMD2,B-Z,2026-04-02,2547.0,73,0.0684931506849315,362.32205851736654,2536.2544096215656,2768.338561496492,7.02965756604057,21,0.47532896447911566,True,False,False,0.5204842650478738,medium
750101310621,CMD2,B-Z,2026-04-02,1002.0,64,0.015625,141.49698990209706,990.4789293146794,1222.0686568093456,7.081422726330024,21,0.4718829487204961,True,False,False,0.45226643372727576,medium
750101310445,CMD2,A-Z,2026-04-02,1863.0,70,0.04285714285714286,256.2346935081645,1793.6428545571518,2316.195266721996,7.270678199322912,21,0.4245891903525868,True,False,False,0.4989847900843551,medium
750101310283,CMD2,A-Z,2026-04-02,10939.0,183,0.03825136612021858,1461.4430031336292,10230.101021935405,12215.999948499695,7.485067824434188,21,0.31420012554669885,True,False,False,0.4657198285233266,medium
750101135068,CMD2,A-Z,2026-04-02,1204.0,70,0.07142857142857142,152.52409282866634,1067.6686498006643,1433.7566641653675,7.8938348537006515,21,0.30070511797454635,True,False,False,0.48848276576728544,medium
750101310406,CMD2,A-Y,2026-04-02,39634.0,510,0.011764705882352941,5301.494061688653,37110.458431820574,42715.66557872078,7.476005733254677,14,0.2744634566484506,True,False,False,0.4538606040686112,medium
750101310968,CMD2,B-Y,2026-04-02,53998.0,510,0.021568627450980392,6850.12826985321,47950.897888972475,59225.50947007346,7.882772098975178,14,0.2355244445913378,True,False,True,0.6536190536478206,medium
750101310550,CMD2,B-Y,2026-04-02,22406.0,494,0.01417004048582996,2887.139620049927,20209.97734034949,23147.419572289084,7.760622258930635,14,0.16499797312379616,True,False,True,0.5777426321843022,medium
750101310581,CMTY,B-Y,2026-04-02,1836.0,82,0.04878048780487805,216.9956037618909,1518.9692263332363,1856.7168149351469,8.461000905873842,14,0.11315250055831061,True,False,False,0.5286946458821478,medium
750101310478,VHSA,A-Y,2026-04-02,3864.0,99,0.050505050505050504,406.22722673567085,2843.590587149696,3879.4548827572853,9.51191782749283,14,0.10292080496143918,True,False,False,0.5099816790477615,medium
