upc,cedis,cluster,model,origin,protection_period_days,on_hand_as_of,sales_after_snapshot,on_hand_projected,demand_p50,demand_p90,demand_mean,service_level_target,safety_stock_policy,safety_stock_quantile,safety_stock,safety_stock_binding,order_up_to,moq,order_qty,implied_service_level,expected_fill_rate,expected_lost_sales,days_of_cover_after_order,unit_value,working_capital,stock_value_after_order,ma4_order_qty,ma4_service_level,ma4_expected_lost_sales,ma4_working_capital,ly_order_qty,ly_service_level,ly_working_capital,delta_working_capital_vs_ma4,delta_service_level_vs_ma4,delta_lost_sales_vs_ma4,fq_order_up_to,fq_order_qty,fq_service_level,fq_expected_lost_sales,fq_working_capital,target_stock_value,fq_target_stock_value,flags
750101310276,VHSA,A-X,lgbm,2026-03-30,14,2541.0000,159.0000,2382.0000,719.0393,859.3170,726.0260,0.9500,154.0799,184.8088,184.8088,forecast_quantile,903.8482,100,0.0000,1.0000,1.0000,0.0000,46.3785,49.9176,0.0000,118903.8417,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,903.8482,0.0000,1.0000,0.0000,0.0000,45117.9755,45117.9755,
750101310280,CCUL,A-X,lgbm,2026-03-30,14,6001.0000,182.0000,5819.0000,903.4654,1141.5085,918.6350,0.9500,193.5997,316.2883,316.2883,forecast_quantile,1219.7537,100,0.0000,1.0000,1.0000,0.0000,90.1706,43.6540,0.0000,254022.7562,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1219.7537,0.0000,1.0000,0.0000,0.0000,53247.1552,53247.1552,
750101310280,MXLI,A-X,lgbm,2026-03-30,14,7370.0000,235.0000,7135.0000,928.9623,1175.4869,944.7626,0.9500,199.0634,327.6336,327.6336,forecast_quantile,1256.5959,100,0.0000,1.0000,1.0000,0.0000,107.5286,43.2991,0.0000,308939.4351,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1256.5959,0.0000,1.0000,0.0000,0.0000,54409.5357,54409.5357,
750101310409,CCUL,A-X,lgbm,2026-03-30,14,9615.0000,485.0000,9130.0000,2752.6821,3112.7133,2765.3730,0.9500,589.8605,470.4082,589.8605,policy_days,3342.5426,100,0.0000,1.0000,1.0000,0.0000,46.4347,42.8932,0.0000,391614.7606,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3223.0903,0.0000,1.0000,0.0000,0.0000,143372.2907,138248.6031,
750101310409,MXLI,A-X,lgbm,2026-03-30,14,11156.0000,245.0000,10911.0000,1228.9515,1472.9314,1241.2827,0.9500,263.3467,321.5710,321.5710,forecast_quantile,1550.5225,100,0.0000,1.0000,1.0000,0.0000,124.2962,43.4873,0.0000,474489.4338,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1550.5225,0.0000,1.0000,0.0000,0.0000,67427.9670,67427.9670,
750101310470,VHSA,A-X,lgbm,2026-03-30,14,2475.0000,290.0000,2185.0000,1110.3997,1756.7202,1183.8636,0.9500,237.9428,890.2896,890.2896,forecast_quantile,2000.6892,100,0.0000,0.9707,0.9915,10.1001,27.5486,47.4358,0.0000,103647.1809,0.0000,0.9707,10.1001,0.0000,0.0000,0.9707,0.0000,0.0000,0.0000,0.0000,2000.6892,0.0000,0.9707,10.1001,0.0000,94904.2549,94904.2549,
61300876519,CMD2,A-Y,lgbm,2026-03-30,14,44566.0000,14250.3355,30315.6645,59646.8258,77747.4557,60935.9955,0.9500,29823.4129,24166.8929,29823.4129,policy_days,89470.2387,100,59200.0000,0.9752,0.9969,186.5702,21.0107,21.4560,1270193.7609,1920645.9208,56200.0000,0.9639,276.9285,1205825.8338,139500.0000,1.0000,2993108.6088,64367.9271,0.0112,-90.3583,83813.7187,53500.0000,0.9500,392.1778,1147894.6994,1919671.2673,1798305.1105,
61300876519,CMTY,A-Y,lgbm,2026-03-30,14,43098.0000,9434.4256,33663.5744,47995.0923,57238.1691,48450.4735,0.9500,23997.5461,12173.4201,23997.5461,policy_days,71992.6384,100,38400.0000,0.9984,0.9999,4.5620,21.0207,21.7276,834340.3529,1565769.4817,36800.0000,0.9974,7.8152,799576.1715,55000.0000,1.0000,1195018.7346,34764.1814,0.0011,-3.2532,60168.5124,26600.0000,0.9512,177.3851,577954.5153,1564228.2126,1307318.1730,
61300876519,MXLI,A-Y,lgbm,2026-03-30,14,48522.0000,2418.6336,46103.3664,10939.9036,14168.9700,11164.9767,0.9500,5469.9518,4306.9699,5469.9518,policy_days,16409.8554,100,0.0000,1.0000,1.0000,0.0000,58.9993,21.5285,0.0000,992534.4634,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,15246.8735,0.0000,1.0000,0.0000,0.0000,353278.9104,328241.7012,
61300876519,TLJ,A-Y,lgbm,2026-03-30,14,44916.0000,6442.2022,38473.7978,25904.3912,32181.2337,26278.3212,0.9500,12952.1956,8318.3968,12952.1956,policy_days,38856.5868,100,400.0000,0.9917,0.9993,19.0237,21.0093,21.6337,8653.4663,840982.7448,0.0000,0.9903,22.6136,0.0000,28300.0000,1.0000,612232.7380,8653.4663,0.0015,-3.5899,34222.7880,0.0000,0.9903,22.6136,0.0000,840610.4069,740364.3525,
61300876522,CCUL,A-Y,lgbm,2026-03-30,14,30056.0000,1343.1032,28712.8968,6034.1021,7961.3887,6176.8966,0.9500,3017.0510,2578.0919,3017.0510,policy_days,9051.1531,100,0.0000,1.0000,1.0000,0.0000,66.6181,20.2053,0.0000,580153.3343,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8612.1939,0.0000,1.0000,0.0000,0.0000,182881.4654,174012.1538,
61300876522,CMD2,A-Y,lgbm,2026-03-30,14,33792.0000,11927.1601,21864.8399,52407.3262,67051.8046,53385.1466,0.9500,26203.6631,19495.9566,26203.6631,policy_days,78610.9893,100,56800.0000,0.9827,0.9981,100.9471,21.0144,20.7737,1179947.2290,1634161.2651,53400.0000,0.9701,179.4361,1109316.5850,133400.0000,1.0000,2771214.0905,70630.6440,0.0126,-78.4890,71903.2828,50100.0000,0.9505,308.0351,1040763.3129,1633042.5882,1493698.5801,
61300876522,CMTY,A-Y,lgbm,2026-03-30,14,30805.0000,6320.3174,24484.6826,32354.3821,41730.6384,32998.6218,0.9500,16177.1910,12498.0975,16177.1910,policy_days,48531.5731,100,24100.0000,0.9797,0.9977,77.2039,21.0230,20.0984,484372.4332,976476.3869,24500.0000,0.9816,69.4738,492411.8097,38100.0000,0.9996,765750.6102,-8039.3765,-0.0019,7.7300,44852.4795,20400.0000,0.9504,199.3117,410008.2007,975408.9690,901464.9234,
61300876522,MXLI,A-Y,lgbm,2026-03-30,14,32966.0000,1379.0000,31587.0000,6541.6791,8731.1047,6709.7901,0.9500,3270.8396,2934.0508,3270.8396,policy_days,9812.5187,100,0.0000,1.0000,1.0000,0.0000,67.6001,20.4587,0.0000,646230.5182,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,9475.7299,0.0000,1.0000,0.0000,0.0000,200751.8610,193861.5838,
