model,cedis,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,CCUL,3392,0.24051304177567315,0.2833025443900285,-0.07303591569109044,0.07063944905855143,0.9354363207547169,0.8968160377358491,1.1597604920520979
ets,CMD2,3456,0.16354664554754667,0.5045849589509718,-0.05509647976345653,0.055431179356907966,0.9577546296296297,0.9210069444444444,1.098482528029161
ets,CMTY,3456,0.2101975449261105,0.3457242133559488,-0.05531354085478949,0.06234616903775716,0.9499421296296297,0.9111689814814815,1.0513870594331503
ets,MXLI,3288,0.22712587224503475,0.3869853246700073,-0.040146051581150734,0.06386090279265118,0.9340024330900243,0.8810827250608273,1.0829214898725792
ets,TLJ,3776,0.2134816216284832,0.26978827769497615,-0.06880629704668176,0.0621472846086225,0.9422669491525424,0.8969809322033898,1.2286597162304904
ets,VHSA,3544,0.24618863234094612,1.9993363170736727,-0.07779247134750271,0.07077720621088046,0.9438487584650113,0.9023702031602708,1.3133565114011254
lgbm,CCUL,3392,0.20591468346177344,0.24718155874334669,-0.07240539612689613,0.06516220335149561,0.7340801886792453,0.5846108490566038,0.5120925362561287
lgbm,CMD2,3456,0.13668634741333902,0.48873092559470754,-0.024495522429440187,0.04005913544361587,0.7230902777777778,0.5633680555555556,0.4336751595214926
lgbm,CMTY,3456,0.17902980287261477,0.4026515763082458,-0.053729127948621426,0.05613547737394131,0.7369791666666666,0.5760995370370371,0.4550696256726639
lgbm,MXLI,3288,0.189914067074587,0.2931553542423848,-0.019890114901162586,0.057430915971590314,0.7597323600973236,0.6140510948905109,0.5507022716447937
lgbm,TLJ,3776,0.17668962338036975,0.29295471367743536,-0.05985373978105392,0.05429362845795923,0.7192796610169492,0.566207627118644,0.4975871319192395
lgbm,VHSA,3544,0.21753232895017152,0.3002274102064214,-0.06895206813600921,0.06902325353860707,0.7310948081264108,0.5832392776523702,0.5281182000312478
ma4,CCUL,3392,0.2680333320746871,0.328881058778895,-0.09199471277103881,0.07698243539428576,0.917747641509434,0.8517099056603774,1.2568916707369338
ma4,CMD2,3456,0.18407110270750007,0.7359152187521207,-0.06839307213707514,0.060123990722186105,0.9383680555555556,0.8914930555555556,1.259490999306645
ma4,CMTY,3456,0.24764284340095097,0.40454312990156255,-0.0795022119501103,0.06943720685212199,0.9351851851851852,0.8796296296296297,1.1440188405606015
ma4,MXLI,3288,0.257812707477677,0.31459253341504595,-0.062353987581263454,0.06896418865298722,0.9233576642335767,0.8579683698296837,1.1453064998542168
ma4,TLJ,3776,0.23306470287917824,0.3578141752374548,-0.07702276061016038,0.06780390916637792,0.9348516949152542,0.8728813559322034,1.3534333009735948
ma4,VHSA,3544,0.2806386377802606,0.3882509791191361,-0.07612309923301579,0.0766484937699156,0.9334085778781038,0.8730248306997742,1.448803249692701
seasonal_naive,CCUL,3392,0.6435118292886612,1.4626939504,0.5316225329302082,0.1337797090857468,0.7620872641509434,0.6423938679245284,0.949112583974473
seasonal_naive,CMD2,3456,0.4450276875654469,69.14662411529893,0.37398829764468106,0.09591836960167402,0.7925347222222222,0.6750578703703703,0.9686625085644786
seasonal_naive,CMTY,3456,0.6543379339773674,7.0558194172668784,0.5852661922288958,0.13361591985224974,0.7309027777777778,0.6284722222222222,0.8427064126911645
seasonal_naive,MXLI,3288,0.5648382488590574,1.3334514027925382,0.48632779571953433,0.12329204976765862,0.754257907542579,0.6517639902676399,0.9603552678906263
seasonal_naive,TLJ,3776,0.5485197886804168,10.898641854162044,0.49075542845836495,0.1172513364065462,0.7788665254237288,0.6848516949152542,0.9759297486698447
seasonal_naive,VHSA,3544,0.6232923036443168,0.7356793034537843,0.5162134042992603,0.13889134085811428,0.7804740406320542,0.6687358916478555,1.0884805431284161
