model,cluster,h,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,A-X,1,48,0.1333068111465251,0.14177952050481304,0.001901085871316105,0.031152421354619132,0.875,0.8333333333333334,0.5730104737323101
ets,A-X,2,48,0.1475234795717705,0.15347483368076628,-0.018329669665495,0.04248627897751316,0.8958333333333334,0.8125,0.7145089386868154
ets,A-X,3,48,0.15709626218779343,0.14549867127025903,-0.033765277482007854,0.045285157891507374,0.9375,0.875,0.8826161151272913
ets,A-X,4,48,0.15938922563548005,0.14985451865553998,-0.004974735410130866,0.039530080230178344,1.0,0.9375,1.0065674905652833
ets,A-X,5,48,0.17694803413092777,0.1879430559046328,0.00182882223382582,0.0487155173780006,0.9166666666666666,0.9166666666666666,1.1118846460815486
ets,A-X,6,48,0.20265713175530523,0.22904339562775525,-0.038828352020313206,0.053672450882197055,0.9583333333333334,0.8958333333333334,1.2685221390536991
ets,A-X,7,48,0.21503479496258407,0.23375452741923144,-0.0638882130719337,0.055865685963110014,0.9375,0.8958333333333334,1.3709006577842664
ets,A-X,8,48,0.1951320645435526,0.20744584548853748,-0.07063027214326353,0.054371869138513794,0.9583333333333334,0.9375,1.4682098547459526
ets,A-Y,1,912,0.09136852888968242,0.10995884293582062,-0.024802526409469238,0.032578424440553845,0.993421052631579,0.9758771929824561,0.8586856585337057
ets,A-Y,2,912,0.14407038641127587,0.16295844513791694,-0.01826641336129758,0.0453304993122071,0.9890350877192983,0.9703947368421053,1.1423568492158713
ets,A-Y,3,912,0.16500456961952276,0.1833084477654634,-0.0001161639547800019,0.05605336255666293,0.9879385964912281,0.9714912280701754,1.46555917071526
ets,A-Y,4,912,0.19777669834414097,0.21983285283449486,-0.05133485334077473,0.06263861966887865,0.9912280701754386,0.9638157894736842,1.6269473810518593
ets,A-Y,5,912,0.21238241234131083,0.23678963570672037,-0.07276700716850219,0.06480874662396094,0.9901315789473685,0.9682017543859649,1.721925836652952
ets,A-Y,6,912,0.24777848751819914,0.26245803607379453,-0.07920492251051264,0.07314426816714097,0.9945175438596491,0.9682017543859649,1.9565495102131378
ets,A-Y,7,912,0.24178300541878908,0.23370438219017328,-0.041983124991084225,0.07747460149017601,0.993421052631579,0.9769736842105263,2.0729761885421927
ets,A-Y,8,912,0.2594447908852278,0.24091514594231012,-0.09890821753409075,0.07902760153990002,0.9912280701754386,0.9714912280701754,2.1691662164225987
ets,A-Z,1,640,0.11592093940123314,0.30832438616512536,-0.02021816764751366,0.03887455507322002,0.928125,0.890625,0.7406511333908823
ets,A-Z,2,640,0.20371706146062227,0.3684449989636434,-0.06455888364717866,0.05766063610399702,0.9125,0.846875,0.9355557955586781
ets,A-Z,3,640,0.22731335356074808,0.3194573112910253,-0.06663966961773561,0.06473984874637422,0.915625,0.8453125,1.0931291679450614
ets,A-Z,4,640,0.28314866191185895,0.6322564648136331,-0.09445680281004858,0.07560514844885516,0.9015625,0.859375,1.186227895805183
ets,A-Z,5,640,0.2896357438528887,0.5744100431924373,-0.10189468343403323,0.07817205097158358,0.9109375,0.8625,1.232088090345214
ets,A-Z,6,640,0.3449217324250495,0.5553852877109307,-0.15071538971999682,0.08686070959136265,0.9203125,0.853125,1.4029831878572825
ets,A-Z,7,640,0.32387739235372076,0.49688424496307354,-0.12763236954740917,0.08713516130466539,0.915625,0.875,1.4706696607648222
ets,A-Z,8,640,0.36989891963568183,0.46114192456608416,-0.160120127753957,0.09441452842829243,0.9046875,0.846875,1.581201633378227
ets,B-Y,1,256,0.09088135654320544,0.12304776120564674,-0.026770640397231493,0.029797451244765145,0.95703125,0.91796875,0.6580037121450271
ets,B-Y,2,256,0.16982933306618747,0.1347880608388001,-0.10776288074730674,0.06475380390336756,0.953125,0.8984375,0.8153196768037406
