model,cluster,fold,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,A-X,0,48,0.13162491087730432,0.16372514144130995,0.05043949871349276,0.044341137649251586,0.9791666666666666,0.9791666666666666,1.1306333176404408
ets,A-X,1,48,0.13878884155787397,0.15041938986117087,-0.11751718523739671,0.042628023619699626,1.0,1.0,1.3127563999555396
ets,A-X,2,48,0.17782831945367594,0.17412773461128403,-0.16693078864577757,0.04342185030331932,1.0,0.9583333333333334,1.1957209652445684
ets,A-X,3,48,0.1655286438022482,0.15478747625117753,-0.08927666350502314,0.04012428951622729,0.9791666666666666,0.9583333333333334,0.9697103845404611
ets,A-X,4,48,0.14070240218715757,0.1711031690812117,-0.03096146379210906,0.03969371524246592,0.9375,0.875,0.8596178979763044
ets,A-X,5,48,0.20696911739135748,0.23283771778583903,-0.1205174824748894,0.05485209280407134,0.8125,0.75,0.8903212374584187
ets,A-X,6,48,0.25581457019564485,0.2259279100324901,0.24310824500274994,0.060008398269061125,0.8958333333333334,0.75,0.743244628965744
ets,A-X,7,48,0.16271106473268218,0.17586582948705218,0.013799951333835995,0.046467767405724246,0.875,0.8333333333333334,0.8955005054880929
ets,A-Y,0,912,0.16428187364303254,0.2680037287076486,-0.02462144275465521,0.06836008228729021,0.9703947368421053,0.9013157894736842,1.6698935819795535
ets,A-Y,1,912,0.317848535667692,0.25047377199041215,-0.27563199796375115,0.07352628553027314,0.9967105263157895,0.9769736842105263,2.094075287762141
ets,A-Y,2,912,0.1991609726880243,0.16092813713660667,-0.1521447770266915,0.06015005589928733,0.9989035087719298,0.9945175438596491,1.6392182970954838
ets,A-Y,3,912,0.19756183934212335,0.18874353183127554,0.10374692124012068,0.06290965145861402,0.9967105263157895,0.9890350877192983,1.4361307806548935
ets,A-Y,4,912,0.21346152821235548,0.2589540581115274,0.11300653838499149,0.06832446035605827,0.9967105263157895,0.9714912280701754,1.5143938707123035
ets,A-Y,5,912,0.25527835025162693,0.2308943159131734,-0.14109725398139739,0.06737249885413257,0.9956140350877193,0.9802631578947368,1.8027829225397265
ets,A-Y,6,912,0.12333434423623822,0.15313040957353471,-0.013616837388485407,0.0504724495508343,0.993421052631579,0.9879385964912281,1.4379120229712368
ets,A-Y,7,912,0.12175735139768455,0.13879783532251588,-0.004375384670437424,0.04859884413255209,0.9824561403508771,0.9649122807017544,1.3468271116721613
ets,A-Z,0,640,0.3018475721006357,0.47524464606849237,-0.22775124203360314,0.09532080704773109,0.9171875,0.8734375,1.3349852668904048
ets,A-Z,1,640,0.5080993211041779,0.8907939259019518,-0.4769012246409662,0.0965425982038408,0.90625,0.821875,1.2758701362877325
ets,A-Z,2,640,0.3207248075158462,0.6653456612881078,-0.22311043379498824,0.07730858055213477,0.871875,0.821875,1.1847624589822572
ets,A-Z,3,640,0.3332327923380911,0.4078481809177036,0.25824619455545955,0.08086661518485036,0.9140625,0.84375,1.0676002083293064
ets,A-Z,4,640,0.20597140795985258,0.2482002878405487,0.02570841255706988,0.06832124277455241,0.9484375,0.896875,1.2069029723219755
ets,A-Z,5,640,0.2549909161421665,0.4881644509404623,-0.12340699801413882,0.07554828462382637,0.9109375,0.865625,1.2430057560089731
ets,A-Z,6,640,0.16134581467649936,0.3171748363736806,-0.06698554612400882,0.05638663996126449,0.9375,0.9,1.134326670799748
ets,A-Z,7,640,0.13079549882869998,0.2114577684566388,-0.004567687025078203,0.051017607493074914,0.903125,0.85625,1.0444173861074972
