date,rows,upcs,stores
2026-03-20,84653,63,2857
2026-03-21,84653,63,2857
2026-03-22,84667,63,2857
2026-03-23,84668,63,2857
2026-03-24,84668,63,2857
2026-03-25,84668,63,2857
2026-03-26,84668,63,2857
2026-03-27,87522,67,2858
2026-03-28,87521,67,2858
2026-03-29,87521,67,2858
2026-03-30,87505,67,2858
2026-03-31,87505,67,2858
2026-04-01,87505,67,2858
2026-04-02,87505,67,2858
2026-04-03,2639,4,962
2026-04-04,2639,4,962
2026-04-05,2639,4,962
2026-04-06,2637,4,962
2026-04-07,2637,4,962
2026-04-08,2637,4,962
2026-04-09,2637,4,962
