model,cluster,lo,hi,nominal,k,n
ets,A-X,q10,q90,0.8,-0.1851138379056033,240
ets,A-Y,q10,q90,0.8,-0.23215528459591808,4560
ets,A-Z,q10,q90,0.8,-0.009305835987756599,3200
ets,B-Y,q10,q90,0.8,-0.22244220918944893,1280
ets,B-Z,q10,q90,0.8,-0.029698009846462186,3520
ets,C-Z,q10,q90,0.8,-0.2657542931723056,240
lgbm,A-X,q10,q90,0.8,0.21204914352185275,240
lgbm,A-Y,q10,q90,0.8,0.5835060651717928,4560
lgbm,A-Z,q10,q90,0.8,0.6559977204620853,3200
lgbm,B-Y,q10,q90,0.8,0.37768862261190933,1280
lgbm,B-Z,q10,q90,0.8,0.3300216505548579,3520
lgbm,C-Z,q10,q90,0.8,0.7485223387127964,240
ma4,A-X,q10,q90,0.8,-0.1568681352873803,240
ma4,A-Y,q10,q90,0.8,-0.23352351693501883,4560
ma4,A-Z,q10,q90,0.8,-0.014065017901022445,3200
ma4,B-Y,q10,q90,0.8,-0.13312727573690622,1280
ma4,B-Z,q10,q90,0.8,-0.01267783627681953,3520
ma4,C-Z,q10,q90,0.8,-0.27870080314905665,240
seasonal_naive,A-X,q10,q90,0.8,0.31908175747432876,240
seasonal_naive,A-Y,q10,q90,0.8,0.15269602307678382,4560
seasonal_naive,A-Z,q10,q90,0.8,0.299344296607117,3200
seasonal_naive,B-Y,q10,q90,0.8,0.19185794861677113,1280
seasonal_naive,B-Z,q10,q90,0.8,0.26978824703640136,3520
seasonal_naive,C-Z,q10,q90,0.8,-0.19389010982172614,240
ets,A-X,q05,q95,0.8999999999999999,-0.18809132659519523,240
ets,A-Y,q05,q95,0.8999999999999999,-0.21933597903209512,4560
ets,A-Z,q05,q95,0.8999999999999999,0.0,3200
ets,B-Y,q05,q95,0.8999999999999999,-0.18067792002410993,1280
ets,B-Z,q05,q95,0.8999999999999999,-0.0042935649706462055,3520
ets,C-Z,q05,q95,0.8999999999999999,-0.23628079004726132,240
lgbm,A-X,q05,q95,0.8999999999999999,0.2277381799872339,240
lgbm,A-Y,q05,q95,0.8999999999999999,0.37412388223650284,4560
lgbm,A-Z,q05,q95,0.8999999999999999,0.5936239555219961,3200
lgbm,B-Y,q05,q95,0.8999999999999999,0.28087351273783634,1280
lgbm,B-Z,q05,q95,0.8999999999999999,0.2949597733673115,3520
lgbm,C-Z,q05,q95,0.8999999999999999,0.522444288150857,240
ma4,A-X,q05,q95,0.8999999999999999,-0.2109379395711475,240
ma4,A-Y,q05,q95,0.8999999999999999,-0.2172215846292057,4560
ma4,A-Z,q05,q95,0.8999999999999999,0.0,3200
ma4,B-Y,q05,q95,0.8999999999999999,-0.10866033056327089,1280
ma4,B-Z,q05,q95,0.8999999999999999,0.011693321384320799,3520
ma4,C-Z,q05,q95,0.8999999999999999,-0.27542002279791106,240
seasonal_naive,A-X,q05,q95,0.8999999999999999,0.28279910861464624,240
seasonal_naive,A-Y,q05,q95,0.8999999999999999,0.1940398205394116,4560
seasonal_naive,A-Z,q05,q95,0.8999999999999999,0.4692790873847516,3200
seasonal_naive,B-Y,q05,q95,0.8999999999999999,0.22372926774175517,1280
seasonal_naive,B-Z,q05,q95,0.8999999999999999,0.35314083889120645,3520
seasonal_naive,C-Z,q05,q95,0.8999999999999999,-0.1651189559878151,240
