method,threshold,n,n_alerts,n_events,precision,recall,f1,false_alarm_rate
cover,3.0,2247,49,103,1.0,0.47572815533980584,0.6447368421052632,0.0
cover,5.0,2247,90,103,0.5444444444444444,0.47572815533980584,0.5077720207253885,0.01912313432835821
cover,7.0,2247,195,103,0.28717948717948716,0.5436893203883495,0.37583892617449666,0.0648320895522388
cover,10.0,2247,344,103,0.1744186046511628,0.5825242718446602,0.2684563758389262,0.13246268656716417
cover,14.0,2247,433,103,0.15935334872979215,0.6699029126213593,0.2574626865671642,0.16977611940298507
cover,21.0,2247,712,103,0.10674157303370786,0.7378640776699029,0.18650306748466255,0.2966417910447761
cover,28.0,2247,929,103,0.08180839612486544,0.7378640776699029,0.14728682170542634,0.3978544776119403
prob,0.1,2247,307,103,0.18241042345276873,0.5436893203883495,0.2731707317073171,0.11707089552238806
prob,0.2,2247,269,103,0.20817843866171004,0.5436893203883495,0.3010752688172043,0.09934701492537314
prob,0.3,2247,235,103,0.23829787234042554,0.5436893203883495,0.3313609467455621,0.08348880597014925
prob,0.5,2247,195,103,0.28717948717948716,0.5436893203883495,0.37583892617449666,0.0648320895522388
prob,0.7,2247,151,103,0.3509933774834437,0.5145631067961165,0.41732283464566927,0.0457089552238806
prob,0.9,2247,119,103,0.4117647058823529,0.47572815533980584,0.44144144144144143,0.03264925373134328
